test_name,operation,input_file,status,confidence_score,findings,issues,reviewer
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/format_test_flv.flv,CORRECT,1.0,"Text: 41 chars, 1 segments, language=en (prob=0.977). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;acoustic-scene-classification,acoustic-scene-classification,test_files_wikimedia/amr/audio-classification/01_sample.amr,SUSPICIOUS,0.3,Empty array (length=0). All 5 tests produce empty output.,"All acoustic-scene-classification outputs are empty arrays. Either model not detecting scenes, or model not loaded properly, or test audio does not contain classifiable scenes.",N=1
smoke_format_audio-extraction;transcription,transcription,test_files_wikimedia/mxf/keyframes/C0023S01.mxf,CORRECT,1.0,"Text: 13 chars, 1 segments, language=en (prob=0.514). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;audio-classification,audio-classification,test_files_wikimedia/ape/audio-classification/01_concret_vbAccelerator.ape,SUSPICIOUS,0.4,5 segments with top class 'Class 2737' (confidence=0.996). Generic class names like 'Class 2216' suggest model may not have proper class labels loaded.,"Generic class names (e.g., 'Class 2216') instead of descriptive labels. Only 1 test has proper label ('Speech'). May indicate class mapping issue.",N=1
smoke_format_audio-extraction;audio-embeddings,audio-embeddings,test_files_wikimedia/amr/audio-enhancement-metadata/01_sample.amr,CORRECT,1.0,1 embeddings x 768 dimensions. No NaN/Inf values. Values in reasonable range.,None,N=1
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/video_high_fps_120__temporal_test.mp4,CORRECT,1.0,"Text: 59 chars, 1 segments, language=en (prob=0.997). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_plugin_audio;audio-embeddings,audio-embeddings,test_edge_cases/audio_mono_single_channel__channel_test.wav,CORRECT,1.0,1 embeddings x 768 dimensions. No NaN/Inf values. Values in reasonable range.,None,N=1
smoke_plugin_audio;acoustic-scene-classification,acoustic-scene-classification,test_edge_cases/audio_mono_single_channel__channel_test.wav,SUSPICIOUS,0.3,Empty array (length=0). All 5 tests produce empty output.,"All acoustic-scene-classification outputs are empty arrays. Either model not detecting scenes, or model not loaded properly, or test audio does not contain classifiable scenes.",N=1
smoke_format_audio-extraction;acoustic-scene-classification,acoustic-scene-classification,test_files_wikimedia/tta/audio-classification/03_generated_sygnalow.tta,SUSPICIOUS,0.3,Empty array (length=0). All 5 tests produce empty output.,"All acoustic-scene-classification outputs are empty arrays. Either model not detecting scenes, or model not loaded properly, or test audio does not contain classifiable scenes.",N=1
smoke_plugin_audio;diarization,diarization,test_edge_cases/audio_mono_single_channel__channel_test.wav,CORRECT,0.95,"2 speakers detected, 4 timeline entries. Structure correct: speakers array with id and total_speaking_time, timeline with speaker/start/end/confidence.",None,N=1
